t_us,blockId,initX,initY,initZ,fromX,fromY,fromZ,toX,toY,toZ,pivotX,pivotY,pivotZ,linkTo,linkFace
21047224,14,8,2,2,12,2,3,13,2,2,12,2,2,6,0
21057352,4,8,0,2,11,0,3,12,0,3,12,0,2,3,1
21481776,20,9,3,2,9,3,3,10,3,3,10,3,2,3,0
21487288,9,8,1,2,10,1,3,11,1,3,11,1,2,0,1
21912256,15,9,2,2,9,2,2,9,2,3,10,2,2,2,0
21918216,4,8,0,2,12,0,3,13,0,2,12,0,2,6,0
22342608,20,9,3,2,10,3,3,11,3,3,11,3,2,8,0
22358088,9,8,1,2,11,1,3,12,1,3,12,1,2,3,1
22772896,15,9,2,2,9,2,3,10,2,3,10,2,2,3,1
22793248,5,9,0,2,9,0,2,9,0,3,10,0,2,2,0
23183824,9,8,1,2,12,1,3,13,1,2,12,1,2,6,0
23203440,20,9,3,2,11,3,3,12,3,3,12,3,2,0,0
23618952,5,9,0,2,9,0,3,10,0,3,10,0,2,3,1
23633536,15,9,2,2,10,2,3,11,2,3,11,2,2,8,1
24058920,10,9,1,2,9,1,2,9,1,3,10,1,2,2,0
24064272,20,9,3,2,12,3,3,13,3,3,13,3,2,3,0
24489720,5,9,0,2,10,0,3,11,0,3,11,0,2,8,1
24494176,15,9,2,2,11,2,3,12,2,3,12,2,2,0,1
24925136,20,9,3,2,13,3,3,14,3,2,13,3,2,6,0
24929624,10,9,1,2,9,1,3,10,1,3,10,1,2,3,1
25354816,15,9,2,2,12,2,3,13,2,3,13,2,2,3,1
25360488,5,9,0,2,11,0,3,12,0,3,12,0,2,0,1
25800360,10,9,1,2,10,1,3,11,1,3,11,1,2,8,1
26215488,15,9,2,2,13,2,3,14,2,2,13,2,2,6,0
26231256,5,9,0,2,12,0,3,13,0,3,13,0,2,3,1
26671096,10,9,1,2,11,1,3,12,1,3,12,1,2,0,1
27102056,5,9,0,2,13,0,3,14,0,2,13,0,2,6,0
27541832,10,9,1,2,12,1,3,13,1,3,13,1,2,3,1
27961992,10,9,1,2,13,1,3,14,1,2,13,1,2,6,0
