t_us,blockId,initX,initY,initZ,fromX,fromY,fromZ,toX,toY,toZ,pivotX,pivotY,pivotZ
24929624,10,9,1,2,9,1,3,10,1,3,10,1,2
25354816,15,9,2,2,12,2,3,13,2,3,13,2,2
25360488,5,9,0,2,11,0,3,12,0,3,12,0,2
25800360,10,9,1,2,10,1,3,11,1,3,11,1,2
26215488,15,9,2,2,13,2,3,14,2,2,13,2,2
26231256,5,9,0,2,12,0,3,13,0,3,13,0,2
26671096,10,9,1,2,11,1,3,12,1,3,12,1,2
27102056,5,9,0,2,13,0,3,14,0,2,13,0,2
27541832,10,9,1,2,12,1,3,13,1,3,13,1,2
27961992,10,9,1,2,13,1,3,14,1,2,13,1,2
